05_V_A_Ang,05_V_A_Mag,05_V_B_Ang,05_V_B_Mag,05_V_C_Ang,05_V_C_Mag,05_V_D_Ang,05_V_D_Mag
-0.31657,1.27E+05,-0.31657,1.27E+05,-0.31657,1.27E+05,-0.31657,1.27E+05
-0.31571,1.27E+05,-0.31571,1.27E+05,-0.31571,1.27E+05,-0.31571,1.27E+05
-0.3147,1.27E+05,-0.3147,1.27E+05,-0.3147,1.27E+05,-0.3147,1.27E+05
-0.31343,1.27E+05,-0.31343,1.27E+05,-0.31343,1.27E+05,-0.31343,1.27E+05
-0.31199,1.27E+05,-0.31199,1.27E+05,-0.31199,1.27E+05,-0.31199,1.27E+05
-0.3105,1.27E+05,-0.3105,1.27E+05,-0.3105,1.27E+05,-0.3105,1.27E+05
-0.30904,1.27E+05,-0.30904,1.27E+05,-0.30904,1.27E+05,-0.30904,1.27E+05
-0.3077,1.27E+05,-0.3077,1.27E+05,-0.3077,1.27E+05,-0.3077,1.27E+05
-0.3064,1.27E+05,-0.3064,1.27E+05,-0.3064,1.27E+05,-0.3064,1.27E+05
-0.30517,1.27E+05,-0.30517,1.27E+05,-0.30517,1.27E+05,-0.30517,1.27E+05
-0.30407,1.27E+05,-0.30407,1.27E+05,-0.30407,1.27E+05,-0.30407,1.27E+05
-0.30304,1.27E+05,-0.30304,1.27E+05,-0.30304,1.27E+05,-0.30304,1.27E+05
-0.30208,1.27E+05,-0.30208,1.27E+05,-0.30208,1.27E+05,-0.30208,1.27E+05
-0.30103,1.27E+05,-0.30103,1.27E+05,-0.30103,1.27E+05,-0.30103,1.27E+05
-0.29979,1.27E+05,-0.29979,1.27E+05,-0.29979,1.27E+05,-0.29979,1.27E+05
-0.29842,1.27E+05,-0.29842,1.27E+05,-0.29842,1.27E+05,-0.29842,1.27E+05
-0.29696,1.27E+05,-0.29696,1.27E+05,-0.29696,1.27E+05,-0.29696,1.27E+05
-0.29559,1.27E+05,-0.29559,1.27E+05,-0.29559,1.27E+05,-0.29559,1.27E+05
-0.29434,1.27E+05,-0.29434,1.27E+05,-0.29434,1.27E+05,-0.29434,1.27E+05
-0.2932,1.27E+05,-0.2932,1.27E+05,-0.2932,1.27E+05,-0.2932,1.27E+05
-0.29213,1.27E+05,-0.29213,1.27E+05,-0.29213,1.27E+05,-0.29213,1.27E+05
-0.2911,1.27E+05,-0.2911,1.27E+05,-0.2911,1.27E+05,-0.2911,1.27E+05
-0.29006,1.27E+05,-0.29006,1.27E+05,-0.29006,1.27E+05,-0.29006,1.27E+05
-0.28888,1.27E+05,-0.28888,1.27E+05,-0.28888,1.27E+05,-0.28888,1.27E+05
-0.28763,1.27E+05,-0.28763,1.27E+05,-0.28763,1.27E+05,-0.28763,1.27E+05
-0.28637,1.27E+05,-0.28637,1.27E+05,-0.28637,1.27E+05,-0.28637,1.27E+05
-0.28511,1.27E+05,-0.28511,1.27E+05,-0.28511,1.27E+05,-0.28511,1.27E+05
-0.28396,1.27E+05,-0.28396,1.27E+05,-0.28396,1.27E+05,-0.28396,1.27E+05
-0.28282,1.27E+05,-0.28282,1.27E+05,-0.28282,1.27E+05,-0.28282,1.27E+05
-0.28155,1.27E+05,-0.28155,1.27E+05,-0.28155,1.27E+05,-0.28155,1.27E+05
-0.28012,1.27E+05,-0.28012,1.27E+05,-0.28012,1.27E+05,-0.28012,1.27E+05
-0.2786,1.27E+05,-0.2786,1.27E+05,-0.2786,1.27E+05,-0.2786,1.27E+05
-0.27716,1.27E+05,-0.27716,1.27E+05,-0.27716,1.27E+05,-0.27716,1.27E+05
-0.27589,1.27E+05,-0.27589,1.27E+05,-0.27589,1.27E+05,-0.27589,1.27E+05
-0.27486,1.27E+05,-0.27486,1.27E+05,-0.27486,1.27E+05,-0.27486,1.27E+05
-0.27392,1.27E+05,-0.27392,1.27E+05,-0.27392,1.27E+05,-0.27392,1.27E+05
-0.27282,1.27E+05,-0.27282,1.27E+05,-0.27282,1.27E+05,-0.27282,1.27E+05
-0.27153,1.27E+05,-0.27153,1.27E+05,-0.27153,1.27E+05,-0.27153,1.27E+05
-0.27016,1.27E+05,-0.27016,1.27E+05,-0.27016,1.27E+05,-0.27016,1.27E+05
-0.26884,1.27E+05,-0.26884,1.27E+05,-0.26884,1.27E+05,-0.26884,1.27E+05
-0.26771,1.27E+05,-0.26771,1.27E+05,-0.26771,1.27E+05,-0.26771,1.27E+05
-0.2668,1.27E+05,-0.2668,1.27E+05,-0.2668,1.27E+05,-0.2668,1.27E+05
-0.26589,1.27E+05,-0.26589,1.27E+05,-0.26589,1.27E+05,-0.26589,1.27E+05
-0.26492,1.27E+05,-0.26492,1.27E+05,-0.26492,1.27E+05,-0.26492,1.27E+05
-0.26386,1.27E+05,-0.26386,1.27E+05,-0.26386,1.27E+05,-0.26386,1.27E+05
-0.26264,1.27E+05,-0.26264,1.27E+05,-0.26264,1.27E+05,-0.26264,1.27E+05
-0.26132,1.27E+05,-0.26132,1.27E+05,-0.26132,1.27E+05,-0.26132,1.27E+05
-0.25989,1.27E+05,-0.25989,1.27E+05,-0.25989,1.27E+05,-0.25989,1.27E+05
-0.25839,1.27E+05,-0.25839,1.27E+05,-0.25839,1.27E+05,-0.25839,1.27E+05
-0.25689,1.27E+05,-0.25689,1.27E+05,-0.25689,1.27E+05,-0.25689,1.27E+05
-0.25553,1.27E+05,-0.25553,1.27E+05,-0.25553,1.27E+05,-0.25553,1.27E+05
-0.25439,1.27E+05,-0.25439,1.27E+05,-0.25439,1.27E+05,-0.25439,1.27E+05
-0.25335,1.27E+05,-0.25335,1.27E+05,-0.25335,1.27E+05,-0.25335,1.27E+05
-0.25231,1.27E+05,-0.25231,1.27E+05,-0.25231,1.27E+05,-0.25231,1.27E+05
-0.25112,1.27E+05,-0.25112,1.27E+05,-0.25112,1.27E+05,-0.25112,1.27E+05
-0.24977,1.27E+05,-0.24977,1.27E+05,-0.24977,1.27E+05,-0.24977,1.27E+05
-0.2484,1.27E+05,-0.2484,1.27E+05,-0.2484,1.27E+05,-0.2484,1.27E+05
-0.24718,1.27E+05,-0.24718,1.27E+05,-0.24718,1.27E+05,-0.24718,1.27E+05
-0.24611,1.27E+05,-0.24611,1.27E+05,-0.24611,1.27E+05,-0.24611,1.27E+05
-0.24508,1.27E+05,-0.24508,1.27E+05,-0.24508,1.27E+05,-0.24508,1.27E+05
-0.24404,1.27E+05,-0.24404,1.27E+05,-0.24404,1.27E+05,-0.24404,1.27E+05
-0.24291,1.27E+05,-0.24291,1.27E+05,-0.24291,1.27E+05,-0.24291,1.27E+05
-0.24175,1.27E+05,-0.24175,1.27E+05,-0.24175,1.27E+05,-0.24175,1.27E+05
-0.24063,1.27E+05,-0.24063,1.27E+05,-0.24063,1.27E+05,-0.24063,1.27E+05
-0.23939,1.27E+05,-0.23939,1.27E+05,-0.23939,1.27E+05,-0.23939,1.27E+05
-0.23807,1.27E+05,-0.23807,1.27E+05,-0.23807,1.27E+05,-0.23807,1.27E+05
-0.2367,1.27E+05,-0.2367,1.27E+05,-0.2367,1.27E+05,-0.2367,1.27E+05
-0.23532,1.27E+05,-0.23532,1.27E+05,-0.23532,1.27E+05,-0.23532,1.27E+05
-0.23415,1.27E+05,-0.23415,1.27E+05,-0.23415,1.27E+05,-0.23415,1.27E+05
-0.23306,1.27E+05,-0.23306,1.27E+05,-0.23306,1.27E+05,-0.23306,1.27E+05
-0.23194,1.27E+05,-0.23194,1.27E+05,-0.23194,1.27E+05,-0.23194,1.27E+05
-0.23071,1.27E+05,-0.23071,1.27E+05,-0.23071,1.27E+05,-0.23071,1.27E+05
-0.22938,1.27E+05,-0.22938,1.27E+05,-0.22938,1.27E+05,-0.22938,1.27E+05
-0.22812,1.27E+05,-0.22812,1.27E+05,-0.22812,1.27E+05,-0.22812,1.27E+05
-0.22699,1.27E+05,-0.22699,1.27E+05,-0.22699,1.27E+05,-0.22699,1.27E+05
-0.22589,1.27E+05,-0.22589,1.27E+05,-0.22589,1.27E+05,-0.22589,1.27E+05
-0.22471,1.27E+05,-0.22471,1.27E+05,-0.22471,1.27E+05,-0.22471,1.27E+05
-0.22338,1.27E+05,-0.22338,1.27E+05,-0.22338,1.27E+05,-0.22338,1.27E+05
-0.22204,1.27E+05,-0.22204,1.27E+05,-0.22204,1.27E+05,-0.22204,1.27E+05
-0.22082,1.27E+05,-0.22082,1.27E+05,-0.22082,1.27E+05,-0.22082,1.27E+05
-0.21968,1.27E+05,-0.21968,1.27E+05,-0.21968,1.27E+05,-0.21968,1.27E+05
-0.21855,1.27E+05,-0.21855,1.27E+05,-0.21855,1.27E+05,-0.21855,1.27E+05
-0.21728,1.27E+05,-0.21728,1.27E+05,-0.21728,1.27E+05,-0.21728,1.27E+05
-0.21591,1.27E+05,-0.21591,1.27E+05,-0.21591,1.27E+05,-0.21591,1.27E+05
-0.21458,1.27E+05,-0.21458,1.27E+05,-0.21458,1.27E+05,-0.21458,1.27E+05
-0.21335,1.27E+05,-0.21335,1.27E+05,-0.21335,1.27E+05,-0.21335,1.27E+05
-0.21215,1.27E+05,-0.21215,1.27E+05,-0.21215,1.27E+05,-0.21215,1.27E+05
-0.2109,1.27E+05,-0.2109,1.27E+05,-0.2109,1.27E+05,-0.2109,1.27E+05
-0.20967,1.27E+05,-0.20967,1.27E+05,-0.20967,1.27E+05,-0.20967,1.27E+05
-0.20841,1.27E+05,-0.20841,1.27E+05,-0.20841,1.27E+05,-0.20841,1.27E+05
-0.20729,1.27E+05,-0.20729,1.27E+05,-0.20729,1.27E+05,-0.20729,1.27E+05
-0.20626,1.27E+05,-0.20626,1.27E+05,-0.20626,1.27E+05,-0.20626,1.27E+05
-0.20514,1.27E+05,-0.20514,1.27E+05,-0.20514,1.27E+05,-0.20514,1.27E+05
-0.20391,1.27E+05,-0.20391,1.27E+05,-0.20391,1.27E+05,-0.20391,1.27E+05
-0.20258,1.27E+05,-0.20258,1.27E+05,-0.20258,1.27E+05,-0.20258,1.27E+05
-0.20121,1.27E+05,-0.20121,1.27E+05,-0.20121,1.27E+05,-0.20121,1.27E+05
-0.19992,1.27E+05,-0.19992,1.27E+05,-0.19992,1.27E+05,-0.19992,1.27E+05
-0.19873,1.27E+05,-0.19873,1.27E+05,-0.19873,1.27E+05,-0.19873,1.27E+05
-0.19756,1.27E+05,-0.19756,1.27E+05,-0.19756,1.27E+05,-0.19756,1.27E+05
-0.19639,1.27E+05,-0.19639,1.27E+05,-0.19639,1.27E+05,-0.19639,1.27E+05
-0.1952,1.27E+05,-0.1952,1.27E+05,-0.1952,1.27E+05,-0.1952,1.27E+05
-0.19405,1.27E+05,-0.19405,1.27E+05,-0.19405,1.27E+05,-0.19405,1.27E+05
